phrase|type
address gentleman|co-occurring
address hous|co-occurring
address inquiri|co-occurring
address made|co-occurring
address may|co-occurring
address point|co-occurring
address print|co-occurring
address question|co-occurring
address refer|co-occurring
address remark|co-occurring
address speaker|co-occurring
adequ debat|co-occurring
adequ discuss|co-occurring
adher rule|co-occurring
adjourn 12|co-occurring
adjourn 3|co-occurring
adjourn 9|co-occurring
adjourn agre|co-occurring
adjourn alway|co-occurring
adjourn congress|co-occurring
adjourn friday|co-occurring
adjourn go|co-occurring
adjourn hous|co-occurring
adjourn last|co-occurring
adjourn monday|co-occurring
adjourn next|co-occurring
adjourn now|co-occurring
adjourn offer|co-occurring
adjourn provis|co-occurring
adjourn resolut|co-occurring
adjourn saturday|co-occurring
adjourn take|co-occurring
adjourn thursday|co-occurring
adjourn tonight|co-occurring
adjourn tuesday|co-occurring
adjourn wereay|co-occurring
adjourn will|co-occurring
adjourn withdrawn|co-occurring
adjourn yesterday|co-occurring
adjust salari|co-occurring
administ vice|co-occurring
administr amend|co-occurring
administr call|co-occurring
administr discharg|co-occurring
administr featur|co-occurring
administr follow|co-occurring
administr offer|co-occurring
administr report|co-occurring
administr util|co-occurring
admiss territori|co-occurring
admit committe|co-occurring
admit floor|co-occurring
admit question|co-occurring
adopt addit|co-occurring
adopt also|co-occurring
adopt anoth|co-occurring
adopt appropri|co-occurring
adopt ask|co-occurring
adopt author|co-occurring
adopt believ|co-occurring
adopt bill|co-occurring
adopt board|co-occurring
adopt bodi|co-occurring
adopt call|co-occurring
adopt can|co-occurring
adopt chang|co-occurring
adopt citi|co-occurring
adopt day|co-occurring
adopt earlier|co-occurring
adopt either|co-occurring
adopt en|co-occurring
adopt even|co-occurring
adopt everi|co-occurring
adopt first|co-occurring
adopt floor|co-occurring
adopt form|co-occurring
adopt full|co-occurring
adopt general|co-occurring
adopt gentleman|co-occurring
adopt give|co-occurring
adopt go|co-occurring
adopt h|co-occurring
adopt hope|co-occurring
adopt howev|co-occurring
adopt joint|co-occurring
adopt just|co-occurring
adopt know|co-occurring
adopt languag|co-occurring
adopt last|co-occurring
adopt legislatur|co-occurring
adopt let|co-occurring
adopt make|co-occurring
adopt mean|co-occurring
adopt meet|co-occurring
adopt might|co-occurring
adopt mr|co-occurring
adopt now|co-occurring
adopt offer|co-occurring
adopt part|co-occurring
adopt particular|co-occurring
adopt pend|co-occurring
adopt present|co-occurring
adopt previous|co-occurring
adopt procedur|co-occurring
adopt propos|co-occurring
adopt provid|co-occurring
adopt purpos|co-occurring
adopt reason|co-occurring
adopt recent|co-occurring
adopt reconsid|co-occurring
adopt refer|co-occurring
adopt reserv|co-occurring
adopt result|co-occurring
adopt said|co-occurring
adopt say|co-occurring
adopt second|co-occurring
adopt section|co-occurring
adopt shall|co-occurring
adopt simpli|co-occurring
adopt sinc|co-occurring
adopt suggest|co-occurring
adopt take|co-occurring
adopt therefor|co-occurring
adopt think|co-occurring
adopt time|co-occurring
adopt today|co-occurring
adopt understand|co-occurring
adopt urg|co-occurring
adopt view|co-occurring
adopt vote|co-occurring
adopt want|co-occurring
adopt way|co-occurring
adopt word|co-occurring
adopt yesterday|co-occurring
adopt yield|co-occurring
advanc notif|co-occurring
advanc third|co-occurring
advantag senat|co-occurring
advers bill|co-occurring
advers report|co-occurring
advis 2|co-occurring
advis amend|co-occurring
advis bill|co-occurring
advis chair|co-occurring
advis chairman|co-occurring
advis committe|co-occurring
advis distinguish|co-occurring
advis fact|co-occurring
advis gentleman|co-occurring
advis hous|co-occurring
advis major|co-occurring
advis may|co-occurring
advis member|co-occurring
advis object|co-occurring
advis parliamentarian|co-occurring
advis present|co-occurring
advis senat|co-occurring
advis staff|co-occurring
advis time|co-occurring
advis vote|co-occurring
advis whether|co-occurring
advis will|co-occurring
advisori opinion|co-occurring
affair allow|co-occurring
affair amend|co-occurring
affair ask|co-occurring
affair author|co-occurring
affair bill|co-occurring
affair call|co-occurring
affair consid|co-occurring
affair consider|co-occurring
affair discharg|co-occurring
affair follow|co-occurring
affair gentleman|co-occurring
affair hear|co-occurring
affair hous|co-occurring
affair jurisdict|co-occurring
affair last|co-occurring
affair matter|co-occurring
affair may|co-occurring
affair now|co-occurring
affair order|co-occurring
affair page|co-occurring
affair present|co-occurring
affair recommend|co-occurring
affair refer|co-occurring
affair relat|co-occurring
affair report|co-occurring
affair senat|co-occurring
affair shall|co-occurring
affair submit|co-occurring
affair think|co-occurring
affair unanim|co-occurring
affair will|co-occurring
affair without|co-occurring
affect amend|co-occurring
affect elect|co-occurring
affect hous|co-occurring
affect matter|co-occurring
affect outcom|co-occurring
affect power|co-occurring
affect question|co-occurring
affect revenu|co-occurring
affect vote|co-occurring
affirm decis|co-occurring
affirm onefifth|co-occurring
affirm rule|co-occurring
affirm will|co-occurring
afford senat|co-occurring
aforesaid bill|co-occurring
afternoon amend|co-occurring
afternoon ask|co-occurring
afternoon bill|co-occurring
afternoon can|co-occurring
afternoon discuss|co-occurring
afternoon gentleman|co-occurring
afternoon hope|co-occurring
afternoon hous|co-occurring
afternoon know|co-occurring
afternoon like|co-occurring
afternoon may|co-occurring
afternoon mr|co-occurring
afternoon one|co-occurring
afternoon senat|co-occurring
afternoon session|co-occurring
afternoon shall|co-occurring
afternoon think|co-occurring
afternoon time|co-occurring
afternoon tomorrow|co-occurring
afternoon vote|co-occurring
afternoon will|co-occurring
agenc board|co-occurring
agenc fiscal|co-occurring
agenc relat|co-occurring
ago adopt|co-occurring
ago amend|co-occurring
ago ask|co-occurring
ago committe|co-occurring
ago move|co-occurring
ago object|co-occurring
ago offer|co-occurring
ago order|co-occurring
ago question|co-occurring
ago refer|co-occurring
